Steps,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Entropy,Is Training
25510000,99.0,4.338389,4.287999987602234,4.287999987602234,0.24442153,1.0
25520000,99.0,4.3428307,3.947000008225441,3.947000008225441,0.24439272,1.0
25530000,99.0,4.3836775,4.44699996560812,4.44699996560812,0.24428365,1.0
25540000,99.0,4.3900313,4.600000017881394,4.600000017881394,0.24428041,1.0
25550000,99.0,4.3513775,4.445000004768372,4.445000004768372,0.2442713,1.0
25560000,99.0,4.339389,4.124999994039536,4.124999994039536,0.2442713,1.0
25570000,99.0,4.3566527,4.471999999880791,4.471999999880791,0.24428587,1.0
25580000,99.0,4.3406277,4.524000030755997,4.524000030755997,0.24428697,1.0
25590000,99.0,4.334099,4.351000021100044,4.351000021100044,0.24422067,1.0
25600000,99.0,4.3828306,4.3810000091791155,4.3810000091791155,0.24421555,1.0
25610000,99.0,4.381568,4.51799999833107,4.51799999833107,0.24418598,1.0
25620000,99.0,4.387421,4.421000009775161,4.421000009775161,0.24417256,1.0
25630000,99.0,4.366787,4.152000047266483,4.152000047266483,0.24416108,1.0
25640000,99.0,4.3963723,4.3020000138878824,4.3020000138878824,0.24415708,1.0
25650000,99.0,4.412261,4.4329999780654905,4.4329999780654905,0.24408098,1.0
25660000,99.0,4.3857055,4.49199998408556,4.49199998408556,0.24398184,1.0
25670000,99.0,4.3609753,4.097999963760376,4.097999963760376,0.24382785,1.0
25680000,99.0,4.3728905,4.412999992370605,4.412999992370605,0.24362803,1.0
25690000,99.0,4.3773484,4.4240000021457675,4.4240000021457675,0.24362805,1.0
25700000,99.0,4.399215,4.168000018000603,4.168000018000603,0.24363807,1.0
25710000,99.0,4.411234,4.281000006198883,4.281000006198883,0.2436133,1.0
25720000,99.0,4.37023,4.479000012874604,4.479000012874604,0.243505,1.0
25730000,99.0,4.3650155,4.2810000383853914,4.2810000383853914,0.243505,1.0
25740000,99.0,4.3461976,3.9960000163316725,3.9960000163316725,0.24322192,1.0
25750000,99.0,4.4050126,4.309999971389771,4.309999971389771,0.24320608,1.0
25760000,99.0,4.3664827,4.313000010251999,4.313000010251999,0.24293472,1.0
25770000,99.0,4.384669,4.365000012516975,4.365000012516975,0.24291997,1.0
25780000,99.0,4.3558292,4.231000037193298,4.231000037193298,0.2430439,1.0
25790000,99.0,4.391658,4.569000029563904,4.569000029563904,0.24309997,1.0
25800000,99.0,4.3975267,4.524999994039535,4.524999994039535,0.24291162,1.0
25810000,99.0,4.387503,4.2909999912977215,4.2909999912977215,0.24282503,1.0
25820000,99.0,4.3686585,4.218999985456467,4.218999985456467,0.24274775,1.0
25830000,99.0,4.3753676,4.390000011920929,4.390000011920929,0.24265581,1.0
25840000,99.0,4.3796387,4.319000002741814,4.319000002741814,0.24267685,1.0
25850000,99.0,4.3808994,4.594000014066697,4.594000014066697,0.242703,1.0
25860000,99.0,4.380424,4.431999992728233,4.431999992728233,0.24269837,1.0
25870000,99.0,4.3751388,4.408000000715256,4.408000000715256,0.2426689,1.0
25880000,99.0,4.379897,4.482000002861023,4.482000002861023,0.24263915,1.0
25890000,99.0,4.366716,4.280000007152557,4.280000007152557,0.2425137,1.0
25900000,99.0,4.3826365,4.380000008046627,4.380000008046627,0.2425137,1.0
25910000,99.0,4.3897243,4.655000020265579,4.655000020265579,0.24238056,1.0
25920000,99.0,4.3610344,4.230000005215406,4.230000005215406,0.24237368,1.0
25930000,99.0,4.4356174,4.589000018835068,4.589000018835068,0.242093,1.0
25940000,99.0,4.3592396,4.1090000042319295,4.1090000042319295,0.24207471,1.0
25950000,99.0,4.3946986,4.249999973773956,4.249999973773956,0.2421579,1.0
25960000,99.0,4.398814,4.269000020325183,4.269000020325183,0.24219756,1.0
25970000,99.0,4.387974,4.076999957561493,4.076999957561493,0.24214394,1.0
25980000,99.0,4.4062896,4.533000064492225,4.533000064492225,0.24211836,1.0
25990000,99.0,4.385126,4.377000002264976,4.377000002264976,0.24206477,1.0
26000000,99.0,4.4183626,4.372999995946884,4.372999995946884,0.242002,1.0
26010000,99.0,4.421116,4.298000007271766,4.298000007271766,0.24197192,1.0
26020000,99.0,4.396255,4.493999976813793,4.493999976813793,0.24193601,1.0
26030000,99.0,4.4011145,4.186999993920327,4.186999993920327,0.24191098,1.0
26040000,99.0,4.3806133,4.197999982237816,4.197999982237816,0.24180742,1.0
26050000,99.0,4.4090047,4.303999991118908,4.303999991118908,0.24176262,1.0
26060000,99.0,4.4072165,4.448000077009201,4.448000077009201,0.24158335,1.0
26070000,99.0,4.3984547,4.530999994277954,4.530999994277954,0.24158335,1.0
26080000,99.0,4.3969946,4.28300001680851,4.28300001680851,0.24159802,1.0
26090000,99.0,4.3882823,4.3030000156164165,4.3030000156164165,0.24160078,1.0
26100000,99.0,4.419975,4.610999995470047,4.610999995470047,0.24168022,1.0
26110000,99.0,4.374261,4.283000002503395,4.283000002503395,0.24168515,1.0
26120000,99.0,4.3983583,4.342000000774861,4.342000000774861,0.24162924,1.0
26130000,99.0,4.4100614,4.219999999403954,4.219999999403954,0.2416041,1.0
26140000,99.0,4.3952236,4.365000023543835,4.365000023543835,0.2415062,1.0
26150000,99.0,4.385338,4.286000000834465,4.286000000834465,0.24146247,1.0
26160000,99.0,4.3823104,4.378000001311302,4.378000001311302,0.24146444,1.0
26170000,99.0,4.400378,4.563000023588538,4.563000023588538,0.24146563,1.0
26180000,99.0,4.3879466,4.288000000119209,4.288000000119209,0.24143203,1.0
26190000,99.0,4.3589263,4.496000042259693,4.496000042259693,0.24138838,1.0
26200000,99.0,4.3478956,3.9299999719858167,3.9299999719858167,0.24135591,1.0
26210000,99.0,4.3703914,4.366999962925911,4.366999962925911,0.24122076,1.0
26220000,99.0,4.375914,4.577000007629395,4.577000007629395,0.24120715,1.0
26230000,99.0,4.4144526,4.441000004410744,4.441000004410744,0.24115805,1.0
26240000,99.0,4.392878,4.620000035762787,4.620000035762787,0.24115805,1.0
26250000,99.0,4.379834,4.078999986052513,4.078999986052513,0.24096426,1.0
26260000,99.0,4.423631,4.404000026583671,4.404000026583671,0.24095386,1.0
26270000,99.0,4.400244,4.59300000846386,4.59300000846386,0.24077114,1.0
26280000,99.0,4.3743205,4.332999991178513,4.332999991178513,0.24076074,1.0
26290000,99.0,4.3916564,4.242000007033348,4.242000007033348,0.24072827,1.0
26300000,99.0,4.3692164,4.0169999885559085,4.0169999885559085,0.24071601,1.0
26310000,99.0,4.3728886,4.207000008225441,4.207000008225441,0.240641,1.0
26320000,99.0,4.3758197,4.565000002384186,4.565000002384186,0.24060766,1.0
26330000,99.0,4.367186,4.356000027060508,4.356000027060508,0.2404935,1.0
26340000,99.0,4.3605494,4.462000014781952,4.462000014781952,0.24035002,1.0
26350000,99.0,4.406845,4.64700000166893,4.64700000166893,0.24025494,1.0
26360000,99.0,4.440692,4.733999986648559,4.733999986648559,0.24013901,1.0
26370000,99.0,4.4119887,4.318999962806702,4.318999962806702,0.24013455,1.0
26380000,99.0,4.4473352,4.547000058889389,4.547000058889389,0.24012178,1.0
26390000,99.0,4.4125466,4.376999990940094,4.376999990940094,0.24009822,1.0
26400000,99.0,4.4289994,4.351999988555908,4.351999988555908,0.24000174,1.0
26410000,99.0,4.4492326,4.228000015616417,4.228000015616417,0.24000174,1.0
26420000,99.0,4.449219,4.346999987363815,4.346999987363815,0.23981972,1.0
26430000,99.0,4.4046,4.358000038266182,4.358000038266182,0.23980908,1.0
26440000,99.0,4.4428873,4.758000010251999,4.758000010251999,0.2398352,1.0
26450000,99.0,4.4231358,4.363000019788742,4.363000019788742,0.23983718,1.0
26460000,99.0,4.467246,4.512999997138977,4.512999997138977,0.23972166,1.0
26470000,99.0,4.4942145,4.778999996185303,4.778999996185303,0.23967071,1.0
26480000,99.0,4.470481,4.425000041723251,4.425000041723251,0.23977691,1.0
26490000,99.0,4.495388,4.712000041007996,4.712000041007996,0.23982449,1.0
26500000,99.0,4.455135,4.048000001534819,4.048000001534819,0.23992133,1.0
26510000,99.0,4.4682603,4.389999973475933,4.389999973475933,0.24004026,1.0
26520000,99.0,4.500437,4.221000000238418,4.221000000238418,0.24004497,1.0
26530000,99.0,4.47231,4.23299997806549,4.23299997806549,0.24004883,1.0
26540000,99.0,4.46193,4.320000029206276,4.320000029206276,0.2400374,1.0
26550000,99.0,4.426948,4.520999991893769,4.520999991893769,0.23998635,1.0
26560000,99.0,4.4007244,4.095000002384186,4.095000002384186,0.23996316,1.0
26570000,99.0,4.4152327,4.341000024080277,4.341000024080277,0.23986936,1.0
26580000,99.0,4.421503,4.462000005841255,4.462000005841255,0.23986936,1.0
26590000,99.0,4.4102616,4.2680000242590905,4.2680000242590905,0.23970024,1.0
26600000,99.0,4.40481,4.352999997437,4.352999997437,0.23968941,1.0
26610000,99.0,4.3785753,4.241999998688698,4.241999998688698,0.23963,1.0
26620000,99.0,4.4045153,4.589000035524368,4.589000035524368,0.23962742,1.0
26630000,99.0,4.402845,4.22400000333786,4.22400000333786,0.23951428,1.0
26640000,99.0,4.4174314,4.465999977588654,4.465999977588654,0.23946188,1.0
26650000,99.0,4.379492,4.286000022888183,4.286000022888183,0.23923042,1.0
26660000,99.0,4.3953066,4.274000029563904,4.274000029563904,0.23912974,1.0
26670000,99.0,4.409157,4.336999990642071,4.336999990642071,0.23906206,1.0
26680000,99.0,4.4040523,4.108999996781349,4.108999996781349,0.23898292,1.0
26690000,99.0,4.381555,4.31500005364418,4.31500005364418,0.23892128,1.0
26700000,99.0,4.363504,4.110000011920929,4.110000011920929,0.2388461,1.0
26710000,99.0,4.3534636,3.938000008165836,3.938000008165836,0.23880778,1.0
26720000,99.0,4.3279066,4.228000011444092,4.228000011444092,0.23866107,1.0
26730000,99.0,4.368752,4.503000004291534,4.503000004291534,0.23865668,1.0
26740000,99.0,4.3618126,4.493999977707863,4.493999977707863,0.2386446,1.0
26750000,99.0,4.338787,4.0850000262260435,4.0850000262260435,0.2386446,1.0
26760000,99.0,4.3170414,4.1070000034570695,4.1070000034570695,0.2386065,1.0
26770000,99.0,4.32724,4.408000041097402,4.408000041097402,0.23860386,1.0
26780000,99.0,4.357055,4.374000008106232,4.374000008106232,0.23857836,1.0
26790000,99.0,4.332277,4.473999987840653,4.473999987840653,0.23857714,1.0
26800000,99.0,4.357675,4.6069999974966045,4.6069999974966045,0.23836301,1.0
26810000,99.0,4.326389,4.640999993085861,4.640999993085861,0.23826765,1.0
26820000,99.0,4.3127832,4.059999972581863,4.059999972581863,0.23820484,1.0
26830000,99.0,4.366206,4.407000032663345,4.407000032663345,0.2381814,1.0
26840000,99.0,4.35707,4.416999987363815,4.416999987363815,0.2382248,1.0
26850000,99.0,4.3518486,4.507999975532293,4.507999975532293,0.23828025,1.0
